employer_description,industry
"The Position About the program This internship position is part of Roche's Global Internship Program in Innovation & Sustainability (#IP2TIS) . At Roche, we nurture a culture of innovation and sustainability, empowering brilliant minds like yours to build lasting impact. In this program you collaborate with industry experts on trailblazing projects, and contribute to Roche's pursuit of a sustainable future. Together, we'll work towards reducing water consumption in the fill level calibration process, leaving a positive mark on the environment and supporting Roche's commitment to sustainability. A self-starter who stays up-to-date on the latest advancements in the field and is committed to supporting Roche's sustainability goals. Application deadline: 23.04.2023 Start of the internship: 01.07.2023 Duration: at least 3 months, with a possibility of extension Location: Basel Workload: 100% Who we are At Roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. Who we are At Roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. Basel is the headquarters of the Roche Group and one of its most important centres of pharmaceutical research. Over 10,700 employees from over 100 countries come together at our Basel/Kaiseraugst site, which is one of Roche`s largest sites. We believe in the power of diversity and inclusion, and strive to identify and create opportunities that enable all people to bring their unique selves to Roche. Roche is an Equal Opportunity Employer. Our dynamic #IP2TIS program, tailored for outstanding Bachelor, Master's, and MBA students, runs for 2-3 months during summer 2023. Conduct a thorough feasibility check of the concept, analyzing all relevant data and information to determine whether the solution is viable and practical. Who you are You're currently enrolled as a Bachelor's or master's student or recently completed your university studies (graduation not longer than 12-month ago) with a background in engineering especially electrical engineering, automation etc. A self-starter who stays up-to-date on the latest advancements in the field and is committed to supporting Roche's sustainability goals. Fluent in German, with strong written and spoken English skills, able to effectively communicate with a diverse range of stakeholders both locally and internationally. A team player who builds strong relationships, collaborates well with others, and has strong interpersonal skills to achieve shared goals. Application deadline: 23.04.2023 Start of the internship: 01.07.2023 Duration: at least 3 months, with a possibility of extension Location: Basel Workload: 100% Who we are At Roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. Working together, we’ve become one of the world’s leading research-focused healthcare groups. Together, we can make a real difference! Who we are At Roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. Working together, we’ve become one of the world’s leading research-focused healthcare groups. Over 10,700 employees from over 100 countries come together at our Basel/Kaiseraugst site, which is one of Roche`s largest sites.",pharmaceutical and life sciences
"Die Genossenschaft LANDI Bern-West ist in der Region ein etabliertes landwirtschaftliches Unternehmen, welches in den Bereichen Agrar-, Detail- sowie Brenn- und Treibstoffhandel tätig ist. Die Genossenschaft LANDI Bern-West ist in der Region ein etabliertes landwirtschaftliches Unternehmen, welches in den Bereichen Agrar-, Detail- sowie Brenn- und Treibstoffhandel tätig ist. Für unseren TopShop in Thörishaus suchen wir per sofort oder nach Vereinbarung eine aufgestellte und motivierte Persönlichkeit als Verkaufsmitarbeiter m/w/d.",wholesale and retail stores
"Who we are At Roche, 94,000 people across 100 countries are pushing back the frontiers of healthcare. Hone your collaboration skills to bring together knowledge and expertise from PLMS, Immunosafety and the wider Roche community. You are proficient in English and not afraid of interacting with colleagues in our Roche Innovation Center in Basel/Switzerland and Penzberg/Germany. Please note: non-EU/non-EFTA citizens must provide a certificate from the university stating that an internship is mandatory (required due to regulations) If you still have questions, then please check our FAQs and videos on careers.roche.ch/faq Roche embraces diversity and equal opportunity in a serious way. Roche is an equal opportunity employer. Who we are At Roche, 94,000 people across 100 countries are pushing back the frontiers of healthcare. Working together, we’ve become one of the world’s leading research-focused healthcare groups. We are passionate about transforming patients’ lives and we are fearless in both decision and action. That is why we come to work each day. We commit ourselves to scientific rigour, unassailable ethics, and access to medical innovations for all. Your Team We are the Project Leader and Modeling & Simulation (PLMS) teams and drive the development of novel biologics drugs forward with a lot of passion and commitment. We are currently a department of about 60 people in Pharma Research and Early Development, including three PhD students, two PostDocs, and one intern. We are the experts when it comes to assessing the pharmacokinetics, dynamics, and nonclinical safety of drug candidates. We have an ""us"" culture and we balance our work with continuous personal growth and team development. Who you are Do you want to work with us to better understand unwanted immune responses triggered by biotherapeutics? You are proficient in English and not afraid of interacting with colleagues in our Roche Innovation Center in Basel/Switzerland and Penzberg/Germany. We are living in 2021: you can flexibly schedule your working hours and do home office. Of course, once the pandemic situation has improved, you have access to facilities and services at the Basel campus, such as the employee canteens, swimming pool, gym, and much more! We look forward to your application! We are dedicated to building a team that represents a range of backgrounds, perspectives, and skills. Roche is an equal opportunity employer.",pharmaceutical and life sciences
The incumbent will provide functional leadership in the areas of financial planning & data analytics and help to drive a balanced profitable growth while maintaining financial Integrity.,information and communication
"As the undisputed leader in professional services, Deloitte is where you'll find unrivaled opportunities to succeed and realize your full potential. Deloitte is where you'll find unrivaled opportunities to succeed and realize your full potential. The Team Deloitte helps organizations prevent cyberattacks and protect valuable assets. Preferred certifications CBCI / CBCP / ISO22301 LI or LA Offensive Security Certified Professional, CISA 5 B.E / B.Tech (Tier 1/2) in Computer Science, Information Technology or related fields Your role as a leader At Deloitte India, we believe in the importance of leadership at all levels. Understands how their daily work contributes to the priorities of the team and the business How you'll grow At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center. Benefits At Deloitte, we know that great people make a great organization. Learn more about what working at Deloitte can mean for you. Our purpose Deloitte is led by a purpose: To make an impact that matters. Every day, Deloitte people are making a real impact in the places they live and work. Learn more about Deloitte's impact on the world Recruiter tips We want job seekers exploring opportunities at Deloitte to feel prepared and confident. Check out recruiting tips from Deloitte professionals. You'll: Experience : Minimum 2+ year of relevant experience in BCM. Qualifications 1. Relevant years of management end-to-end business continuity program 2. Preferred certifications CBCI / CBCP / ISO22301 LI or LA Offensive Security Certified Professional, CISA 5 B.E / B.Tech (Tier 1/2) in Computer Science, Information Technology or related fields Your role as a leader At Deloitte India, we believe in the importance of leadership at all levels. In addition to living our purpose, across our organization: . From entry-level employees to senior leaders, we believe there's always room to learn. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Every day, Deloitte people are making a real impact in the places they live and work.",legal and consulting
"Google welcomes people with disabilities. About the job    In this role, you will be a part of Research and Development team developing high performance and low power hardware and software to enable Google’s continuous innovations in mobile image, vision, and AI processing. Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. Google is proud to be an equal opportunity workplace and is an affirmative action employer. Minimum qualifications:    Bachelor's degree in Computer Science, Electrical Engineering, Computer Engineering, a related technical field, or equivalent practical experience. Experience with C/C++ or Verilog/SystemVerilog. Preferred qualifications:    Master's degree or PhD in Computer Science, Electrical Engineering, or a related technical field. 3 years of experience in RTL design or verification. Your responsibilities include designing and verifying components and delivering the IPs to the system for integration. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. Perform RTL verification using industry standard methodologies, participate in test planning, and coverage analysis. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.",information and communication
"And we’re counting on your unique voice and perspective to help EY become even better, too. Lead Talent Consultant- Assistant Director If you are looking for a challenging and rewarding career experience as a Lead Talent Consultant in a high-growth organization, we have a role here. We create teams of inspiring, teaming and belonging. We care for our business, society and client. We look forward to working with you. 12 -15 years of proven HR generalist experience (e.g. We work across six locations – Argentina, China, India, the Philippines, Poland and the UK – and with teams from all EY service lines, geographies and sectors, playing a vital role in the delivery of the EY growth strategy. Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs. Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.",legal and consulting
"Bereit für den Berufseinstieg In Zusammenarbeit mit der Berufsfachschule bwd Bern bietet Swisscom Sport- und Musiktalenten die von drei auf vier Jahre verlängerte Lehre zur/m Kauffrau/-mann E-Profil im Modell ""Lehre und Sport | Musik"" an. Bereit für den Berufseinstieg In Zusammenarbeit mit der Berufsfachschule bwd Bern bietet Swisscom Sport- und Musiktalenten die von drei auf vier Jahre verlängerte Lehre zur/m Kauffrau/-mann E-Profil im Modell ""Lehre und Sport | Musik"" an. Durch diese Verlängerung stehen für sportliche Aktivitäten (Training, Wettkämpfe, Trainingslager, etc.) beziehungsweise für musikalische Aktivitäten (Üben, Proben, Konzerte, Vorführungen, etc. ), aber auch für die Regeneration durchschnittlich rund 25 % der Arbeitszeit zur Verfügung. Überbetriebliche Kurse Branche Dienstleistung und Administration - 4 Tage pro Lehrjahr Ablauf der Lehre Alles nach Plan? Genau das passt zu dir?",information and communication
"If you want to play a leadership role in the world’s fastest growing cloud business, this is your chance, to join Microsoft Azure Marketing. As an individual contributor with visibility, you will have opportunity for growth by partnering with groups from across Microsoft. Microsoft is an equal opportunity employer. Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work. If you want to play a leadership role in the world’s fastest growing cloud business, this is your chance, to join Microsoft Azure Marketing. Are you excited about partnering with the best field product marketers in the industry to help tell the Azure story at scale? We are seeking an enthusiastic team member who understands enterprise-scale GTM motions and is curious to learn about business, product and marketing aspects of the role. This is a fast paced, exciting role where there is always a new challenge. In this role we are looking for a high impact, high energy marketing professional as a member of our Azure Field Strategy & Enablement team. Our Azure Field Strategy & Enablement team is a small, motivated group of people who are passionate about cloud technologies and the opportunities it creates. We feel strongly about putting our customers first, knowing our business and about guiding ourselves with data. If that sounds like the right environment for you, then please join us! Become a subject matter expert for your area including product, business and marketing angles. Be a steward of our global PMM & BG Lead community. Three years of technical B2B product marketing and/or field marketing experience. Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.",information and communication
"Das Lonza Specialty Ingredients business wird neu gehalten durch Herens HoldCo Ltd. Bei (LSI) verbinden wir technologische Innovation mit erstklassiger Produktion und regulatorischer Kompetenz. Wir sind führend in Microbial Control Solutions und chemischen Technologien, die in verschiedenen Bereichen wie Hygiene und Haushaltspflege eingesetzt werden. Unser Geschäftsbereich Specialty Products Solutions bietet Verbundwerkstoffe für technisch anspruchsvolle Industrien sowie Veredlungsschemikalien und Zwischenprodukte an. Wir haben bereits über 1'000 kundenspezifische Lösungen entwickelt und produziert. Wir sind ein dynamisches Unternehmen mit 3’000 Mitarbeitenden in über 32 Ländern weltweit. Wir suchen nach talentierten Mitarbeitenden, die ZUSAMMENARBEIT schätzen und sich durch eine LEISTUNGS -Kultur motivieren. Zur Verstärkung unseres Entwicklungsteams in Visp, Switzerland suchen wir eine/n Operator/in. Deine Aufgaben:    Als Schichtmitarbeiter führst du die Arbeiten sicher und selbstständig aus unter Einhaltung der Sicherheitsvorschriften (SiVo)    In der Messwarte überwachst du die Produktion, kontrollierst und analysierst Prozessparameter, erkennst und behebst Störungen und fährst die kontinuierlichen Produktionsanlagen nach Vorgaben sicher ein und aus    Die selbstständige Ausführung und Protokollierung von Arbeitsabläufen und Rundgängen in der Produktionsanlage gemäss den Vorgabedokumenten gehört zu deinen Kernaufgaben    Das Arbeiten mit dem Computer (Outlook, Excel, Word, SAP sowie Prozessleitsystemen) rundet dein Tätigkeitsfeld ab     Dein Anforderungsprofil:    Du hast eine abgeschlossene Ausbildung (EFZ) oder eine gleichwertige Ausbildung und bist bereit Schichtarbeit zu leisten (inkl. Das Lonza Specialty Ingredients business wird neu gehalten durch Herens HoldCo Ltd.",pharmaceutical and life sciences
"At Lonza Specialty Ingredients (LSI) , we combine technological innovation with world-class manufacturing and regulatory excellence. We are a leader in Microbial Control Solutions and chemical technologies used in various applications including hygiene and home care. Our Specialty Chemical Services business provides composite materials for technically demanding industries and performance intermediates & chemicals. Our Custom development and manufacturing team has already brought more than 1,000 unique solutions to life for their customers. We are a highly dynamic group of 3,000 employees in more than more than 30 countries around the world. We are looking for talent who embrace COLLABORATION and are motivated by a PERFORMANCE culture. For our SCS Business Unit Controlling Team in Visp/Basel, we are looking for an intern for a duration of 6 to 12 months. What makes YOU different?",pharmaceutical and life sciences
"Google welcomes people with disabilities. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users. Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. Google is proud to be an equal opportunity workplace and is an affirmative action employer. Minimum qualifications:    Bachelor's degree in Electrical Engineering, Computer Science, or equivalent practical experience. 3 years of experience in analyzing workloads on real systems or devices. Experience in C, C++, or Python. Preferred qualifications:    Master's degree or PhD in Computer Science, Electrical Engineering, or a related field. Experience in full software stacks including Android/ChromeOS, Linux drivers, applications, and application automation. In this role, you will collaborate with software and hardware architects to characterize the important computing workloads. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.",information and communication
"Wir erwarten einen Ausbildungsabschluss als Informatiker / -in (FH, HF oder TS) mit Zusatzausbildung als Change Manager / -in oder gleichwertige Kenntnisse. Mehrjährige Berufserfahrung im IT Change Management sowie im Betreiben von Heterogenen Systemumgebungen (Windows, Linux, VMware und Citrix). Sie sind bereit, sich weiterzubilden und das erlernte Wissen umzusetzen und weiterzugeben.",public administration and international organizations
We currently seek a highly motivated Public Areas Overnight Cleaner to join our dynamic team.,"accommodation, hotel, restaurants and food service"
"Product Manager Industry Segments - Full Time - Haag , Switzerland At Sulzer, you are in charge of your career and continued development. Sulzer's Industrial Adhesives division offers products and services for fluid mixing and dispensing solutions, aimed at Industrial and Construction applications worldwide under such leading brands as Mixpac, Cox, MK, and private label programs. About us Sulzer is a global leader in fluid engineering. Sulzer has been headquartered in Winterthur, Switzerland, since 1834. www.sulzer.com Applicator Systems Through its well-known brands (Mixpac, Transcodent, Cox, Medmix, Haselmeier and Geka), Sulzer APS develops and delivers innovative products and services for liquid application and mixing solutions within the healthcare, adhesives and beauty markets. www.sulzer.com Explore other opportunities here: Sulzer Product Manager Industry Segments - Full Time - Haag , Switzerland At Sulzer, you are in charge of your career and continued development. Sulzer's Industrial Adhesives division offers products and services for fluid mixing and dispensing solutions, aimed at Industrial and Construction applications worldwide under such leading brands as Mixpac, Cox, MK, and private label programs. The Industrial Adhesives divisions' global presence, includes multiple manufacturing operations and sales offices worldwide, and headquarters in Haag, Switzerland. Join our APS_Adhesives team within Applicator Systems division in Switzerland as Product Manager Industry Segments to help us take our industrial business to the next level. About us Sulzer is a global leader in fluid engineering. Sulzer has been headquartered in Winterthur, Switzerland, since 1834. In 2020, our 15’000 employees delivered revenues of CHF 3.3 billion. Our shares are traded on the SIX Swiss Exchange (SIX: SUN).",manufacturing
The position of Lead Host is responsible for providing exemplary hospitality and creating a lasting impression of the brand upon guests entering and leaving the restaurant.,"accommodation, hotel, restaurants and food service"
"3.6 Quick Apply Full-time | Part-time7 hours ago Full Job Description Be a part of your Local Hometown Favorite. Stability - We have some of the lowest manager & hourly turnover in the industry, that means the team you'll be a part of doesn't change nearly as often as other restaurants Better quality of life - no late night bar hours! Healthcare Coverage - Restaurant hourly team members may become eligible for health and welfare plans the first of the month following an ACA measurement period in which average hours worked per week is 30 or greater. WE ARE COMMITTED TO OUR GUESTS, TEAM MEMBERS & COMMUNITY Submit your application today, we can't wait to meet you. We offer great restaurant culinary careers for line cooks (concinero / cocinera) who have back of house cooking, chef, saute cook or grill cook kitchen experience in a high volume restaurant environment.","accommodation, hotel, restaurants and food service"
"Möchten Sie gerne Ihr Netzwerk innerhalb der UBS aufbauen oder erweitern? Als Fachkraft für Onboarding von Unternehmenskunden sind Sie die Visitenkarte von UBS für unsere Neukunden, beraten sie und bringen ihnen unser digitales Offering näher. In dieser schweizweiten Drehscheibenfunktion spielt unser dynamisches Team eine wichtige Rolle innerhalb des Unternehmenskundenbereichs der UBS und trägt mit seinem Engagement und einem hohen Qualitätsanspruch wesentlich zum Image von UBS bei. Erfolg heisst bei UBS, Kollegen und Kunden zu respektieren, zu verstehen und zu vertrauen. Disclaimer / Policy Statements UBS ist ein Arbeitgeber, der Chancengleichheit fördert. Arbeiten Sie gerne in einem dynamischen und zukunftsträchtigen Umfeld? Möchten Sie gerne Ihr Netzwerk innerhalb der UBS aufbauen oder erweitern? Dann sind Sie bei uns an der richtigen Stelle! Egal ob Sie sich im Bereich der Unternehmenskunden weiterentwickeln wollen oder sich geregelte und planbare Arbeitszeiten wünschen, damit Sie eine Weiterbildung absolvieren oder mehr Zeit mit Ihrer Familie verbringen können. Werden Sie Teil unseres Client Onboarding Teams und unterstützen Sie zusammen mit Ihren Kolleginnen und Kollegen unsere Kundschaft und die Kundenberatungsteams. Sie werden: unsere Neukunden am Telefon lösungsorientiert und kompetent betreuen Jungunternehmer bei der Etablierung des für die Gründung notwendigen Kapitaleinzahlungskonto unterstützen unsere Neukunden bedürfnisorientiert beraten und im Gespräch Verkaufsopportunitäten erkennen und ihnen unser digitales Produkteangebot näher bringen die Wertschöpfungskette der Kunden und Kundinnen und deren Struktur auf Risiken analysieren kompetent und effizient administrative Aufgaben und Aufträge in Bezug auf Neueröffnungen im Firmenkundenbereich erledigen Kundendaten aktualisieren und deren Qualität sicherstellen Your team Das Client Onboarding Team ist für die Eröffnung von Neukundenbeziehungen für Firmen zuständig und übernimmt alle Aufgaben vom telefonischen Erstkontakt mit der Kundschaft bis zur Freischaltung des Kontos. In dieser schweizweiten Drehscheibenfunktion spielt unser dynamisches Team eine wichtige Rolle innerhalb des Unternehmenskundenbereichs der UBS und trägt mit seinem Engagement und einem hohen Qualitätsanspruch wesentlich zum Image von UBS bei. Wir sind an den Standorten Basel und Genf tätig und decken die Gesamtschweiz mit den Sprachen Deutsch, Französisch, Italienisch und Englisch ab. Arbeitsort ist Basel/Zürich. Privatkundengeschäft in der Schweiz. Und alles, was man dazu braucht. Das machen wir. Für Privat-, Firmen- und institutionelle Kunden weltweit. Wir sind rund 60 000 Mitarbeiter - in allen wichtigen Finanzzentren, in mehr als 50 Ländern. Join us Sind sie ein echter Teamplayer? Sich selbst vorantreiben und immer das Richtige wollen. Dann sind Sie bei uns richtig. Jetzt. Disclaimer / Policy Statements UBS ist ein Arbeitgeber, der Chancengleichheit fördert. Wir respektieren jeden Mitarbeiter als Individuum sowie unterschiedliche Kulturen, Perspektiven, Fähigkeiten und Erfahrungen unseres Personals.",financial and insurance
"We are passionate and push the limits of innovation. We dare to be great while acting with integrity and respect. We stay hungry, yet humble. Our company is a blend of experience and diverse backgrounds, and our leaders have a strong history of building and selling successful initiatives. We are working to build a truly groundbreaking company and we want top-notch people to join us in that mission. Ensure all associated paperwork and /or computer reporting is completed accurately and in a timely fashion. Set-up, operates, and troubleshoots equipment. EDUCATION AND EXPERIENCE: High School diploma or general education degree (GED). At least 6 months of experience with related printing machines or similar machinery. The employee may be frequently exposed to fumes or airborne particles. Use of office equipment to include computer, calculator, copier, fax, and other business related machines and software. Distribution of this item outside of the Company without an authorized release is a violation of Company policy.","arts, entertainment and recreation"
Während den derzeitigen Umständen ist ein Arbeiten im Home-Office nach grundlegenden Regelungen des Zusammenarbeitens möglich. Weisungsbefugt wäre der Vorstand des AStA's.Zu Ihren Aufgaben gehören folgende Bereiche:- Steuererklärung- regelmäßige und ggf. Für das Gespräch sind Vorstellungen über die Zusammenarbeit sowie eigene Qualifikationen bereit zu halten.Schicken Sie diese bitte an asta@uni-koblenz.deWir würden uns bei Ihnen für ein persönliches Bewerbungsgespräch zeitnah melden.,research and academia
"Function Category    Information Technology (IT)    Join us    At UBS, we embrace flexible ways of working when the role permits. Ready to be part of #teamUBS and make an impact? capable of understanding client needs and translating this into products and services    About us    UBS is the world's largest and only truly global wealth manager. Business Divisions    Group Functions    Your role    We're looking for an application support analyst to:     provide application support for business critical trading and settlement applications in Taiwan. Function Category    Information Technology (IT)    Join us    At UBS, we embrace flexible ways of working when the role permits. We offer different working arrangements like part-time, job-sharing and hybrid (office and home) working. We know that it's our people, with their unique backgrounds, skills, experience levels and interests, who drive our ongoing success. Together we're more than ourselves. Your team    You'll be working in the Emerging Market IT team in Taiwan. Escalate the risk and key issues to global product heads for resolution and update global/regional IT Heads. Build and maintain the relationship with senior business managers and stakeholders in the region. capable of understanding client needs and translating this into products and services    About us    UBS is the world's largest and only truly global wealth manager. We operate through four business divisions: Global Wealth Management, Personal & Corporate Banking, Asset Management and the Investment Bank. Our global reach and the breadth of our expertise set us apart from our competitors. With more than 70,000 employees, we have a presence in all major financial centers in more than 50 countries. Do you want to be one of us?",financial and insurance
"Description du poste Coop hat den Anspruch, die beste und kundennächste Detailhändlerin in der Schweiz zu sein. Dann sind genau Sie die richtige Person für unser Team. Sie bedienen und beraten unsere anspruchsvolle Kundschaft in den diversen Rayons. Unter Einhaltung unserer Qualitäts- und POS-Richtlinien (Frische/Qualität, Hygiene, Temperaturvorschriften, Verfalldaten) bewirtschaften Sie die Waren und setzen die Verkaufsförderungsmassnahmen um.",wholesale and retail stores
"And we’re counting on your unique voice and perspective to help EY become even better, too. ET Business Mgmt. Product management and/or project management or a related discipline is desirable but not required. Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.",legal and consulting
"Become a part of Swisscom Help shape the future in our modern, flexible working environment. Your professional profile Degree (Uni/UAS) in computer science or a similar field of study Knowhow in Tomcat, Ansible, Git, and Linux Very good English, good German or French Knowledge in cloud computing, firewalls, security, and SAML/SSL Familiar with PostgreSQL and ELK Hands-on knowledge of BSI Studio Practical knowhow of Tableau or MicroStrategy Very good knowledge of collaboration tools such as Jira and Confluence or comparable solutions What else sets you apart Ability to recognize trends and correlations and draw the right conclusions Enthusiasm for agile approaches (e.g., SAFe) DevOps mentality; team-oriented and able to work in agile teams Leadership mentality Communicative personality, proactively organising events and webinars or expanding the internal knowledge database Your home base Swisscom (Switzerland) Ltd Alte Tiefenaustrasse 6, 3048 Worblaufen Any questions? SwissCom Build a new platform Maintain the platform Develop the new platform What you do is who we are. Our transparent salary system is based on the achievement of common, uniform goals. Job location ... you start as soon as possible ... you can partly work from home ... you travel up to 20% of your working hours within Switzerland Flexible working models We can offer the working model to suit you, whether you're a night owl or morning person and whether you're looking to work full or part time. We also give you the option of purchasing additional days' leave. Individual training We support your personal and professional development with a comprehensive programme of internal and external training. Our transparent salary system is based on the achievement of common, uniform goals. Job location ... you start as soon as possible ... you can partly work from home ... you travel up to 20% of your working hours within Switzerland Flexible working models We can offer the working model to suit you, whether you're a night owl or morning person and whether you're looking to work full or part time. We also give you the option of purchasing additional days' leave. Individual training We support your personal and professional development with a comprehensive programme of internal and external training. Is it a match? 2/3Your background The platform you build, develop, and operate with your DevOps team is at the intersection of IT and business. This is what you bring with you: Your professional profile Degree (Uni/UAS) in computer science or a similar field of study Knowhow in Tomcat, Ansible, Git, and Linux Very good English, good German or French Knowledge in cloud computing, firewalls, security, and SAML/SSL Familiar with PostgreSQL and ELK Hands-on knowledge of BSI Studio Practical knowhow of Tableau or MicroStrategy Very good knowledge of collaboration tools such as Jira and Confluence or comparable solutions What else sets you apart Ability to recognize trends and correlations and draw the right conclusions Enthusiasm for agile approaches (e.g., SAFe) DevOps mentality; team-oriented and able to work in agile teams Leadership mentality Communicative personality, proactively organising events and webinars or expanding the internal knowledge database Take the Skill Check With the Skill Check above, you will discover whether you are a good fit for the position. It's a match! Go to application Your Skill Check will be submitted automatically along with your application. That's all we need from you for now.",information and communication
"Disclaimer / Policy Statements UBS is an Equal Opportunity Employer. Switzerland - Zrich Product Management and Development Personal & Corporate Banking Job Reference # 230245BR City Zrich Your role Are you interested in digital solutions, innovations or how the world will pay in 10 years? We're looking for someone like that to: search, research, test and evaluate innovative payment solutions and market trends on the Swiss and international markets conduct activities for new product launches and projects with a hands-on creative and engaged approach utilize strong analytical skills to evaluate end-to-end client experience of developed solutions across multiple channels and customer touch points support project portfolio management by monitoring projects implementation progress, ideas selection and budget requesting apply agile methods incl. You'll be directly involved in day-to-day operations, working with professionals and gaining first-hand experience of our business. Your team Youll be working in the Product Shelf Management team in Zurich. We are an agile and international team with focus on strategy & business development, innovative solutions and project & portfolio management. Your expertise You need have completed your bachelors or masters degree. In particular, you have: a focus set on innovations and user experience interest in product development and management in cards & payments very good conceptual capabilities a flexible, open-minded and cooperative personality (youre a people person) a bachelors or masters degree, preferably in economics, finance or business administration a structured work style, confident working autonomously excellent German and English (written and oral) Perhaps youve organized a fundraising event or taken part in team sports? Retail banking in Switzerland. That's what we do. And we do it for private and institutional clients as well as corporations around the world. We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us? Join us We're a truly global, collaborative and friendly group of people. And we support your career development, internal mobility and work-life balance. Disclaimer / Policy Statements UBS is an Equal Opportunity Employer.",financial and insurance
"As an industry leader, OTO develops, owns, and operates award-winning select-service hotels in key markets across the U.S. with brand partners: Marriott, Hilton & Hyatt. For six years, OTO has ranked on INC. 5000's list of Fastest Growing Private Companies and in 2018 was certified as a high-trust, high-performance workplace by the independent analysts at Great Place to Work Institute. We would love for you to join our team!","accommodation, hotel, restaurants and food service"
"Your team designs and builds the hardware, software and networking technologies that power all of Google's services. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users. Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. Minimum qualifications: Bachelor's degree in Electrical Engineering or equivalent practical experience. 3 years of experience in power management or firmware development. Preferred qualifications: Advanced degree in Electronics, Computer Engineering or Computer Science, with an emphasis on computer architecture and performance and power analysis. Knowledge of Dynamic Voltage Frequency Scaling (DVFS), idle power management, and system mitigation. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. Define ASIC power management architecture details for an ASIC that includes functions (i.e.",information and communication
"We are looking for a Food Runner to join our team and facilitate collaboration between our kitchen and wait staff. If you’d like to gain experience in the restaurant industry and learn how to provide an excellent dining experience, we’d like to meet you.","accommodation, hotel, restaurants and food service"
"Unser Unternehmenszweck „Becoming better every day – since 1802“ inspiriert uns in unserer täglichen Arbeit. Wir bieten globale Lerntools sowie Schulungen und spezialisierte Kurse. Wir bieten einen Talentmanagementprozess (MyNextBigStep@GF), um Ihre Karriere zu fördern. Unser Geschäft wird angetrieben durch branchenführende Nachhaltigkeitsniveaus, Innovation durch digitale Lösungen und Investitionen in eine Kultur, die auf Leistung, Lernen und Fürsorge basiert.",manufacturing
"Line of Service Advisory Industry/Sector Not Applicable Specialism Forensic Technology Management Level Senior Associate Job Description & Summary To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. PwC Professional skills and responsibilities for this management level include but are not limited to: Use feedback and reflection to develop self awareness, personal strengths and address development areas. Line of Service Advisory Industry/Sector Not Applicable Specialism Forensic Technology Management Level Senior Associate Job Description & Summary To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. Use a broad range of tools and techniques to extract insights from current industry or sector trends. Job Posting End Date",legal and consulting
